Dates,VOLUME_TOTAL_PUT,VOLUME_TOTAL_CALL,PX_VOLUME,PX_MID,PX_ASK,PX_BID,CALL_IMP_VOL_10D,CALL_IMP_VOL_30D,3MO_CALL_IMP_VOL,6MO_CALL_IMP_VOL,12MO_CALL_IMP_VOL,18MO_CALL_IMP_VOL,24MO_CALL_IMP_VOL,3MO_PUT_IMP_VOL,PUT_IMP_VOL_10D,6MO_PUT_IMP_VOL,PUT_IMP_VOL_30D,24MO_PUT_IMP_VOL,PUT_IMP_VOL_60D,18MO_PUT_IMP_VOL,12MO_PUT_IMP_VOL
#NAME?,1135715,647838,130991069,202.035,202.05,202.02,20.493,17.199,16.792,17.068,17.424,18.024,18.666,16.792,20.493,17.068,17.199,18.666,16.668,18.024,17.424
1/21/15,1420444,706260,122942707,203.095,203.1,203.09,18.862,16.168,15.941,16.535,17.01,17.709,18.363,15.941,18.862,16.535,16.168,18.363,15.577,17.709,17.01
1/22/15,1901104,1540655,174356029,206.005,206.01,206,14.312,13.865,14.707,15.429,16.27,17.137,17.996,14.707,14.312,15.429,13.865,17.996,14.064,17.137,16.27
1/23/15,1731851,917202,117516753,204.815,204.83,204.8,14.651,14.101,14.966,15.685,16.385,17.254,17.834,14.966,14.651,15.685,14.101,17.834,14.368,17.254,16.385
1/26/15,832915,524220,92009711,205.735,205.74,205.73,13.385,13.227,14.334,15.333,16.267,17.019,18.017,14.334,13.385,15.333,13.227,18.017,13.58,17.019,16.267
1/27/15,1600611,852696,134044598,203.375,203.38,203.37,16.444,15.166,15.384,15.951,16.578,17.361,18.02,15.384,16.444,15.951,15.166,18.02,14.905,17.361,16.578
1/28/15,1652416,813494,168514312,199.635,199.65,199.62,20.291,17.892,17.321,17.323,17.551,18.261,19.013,17.321,20.291,17.323,17.892,19.013,17.01,18.261,17.551
1/29/15,1984156,1032907,173585424,202.355,202.36,202.35,17.457,16.239,16.178,16.566,17.019,17.739,18.416,16.178,17.457,16.566,16.239,18.416,15.708,17.739,17.019
1/30/15,2163920,1131926,197729724,199.56,199.58,199.54,19.648,18.255,17.745,17.569,17.692,18.259,19.151,17.745,19.648,17.569,18.255,19.151,17.591,18.259,17.692
2/2/15,1618756,823809,163106969,202.15,202.16,202.14,17.513,16.557,16.618,16.861,17.241,17.933,18.86,16.618,17.513,16.861,16.557,18.86,16.261,17.933,17.241
2/3/15,1551460,964628,124212881,204.625,204.63,204.62,15.012,14.696,15.514,15.978,16.505,17.406,18.18,15.514,15.012,15.978,14.696,18.18,14.866,17.406,16.505
2/4/15,1226979,610658,134306728,203.545,203.55,203.54,15.932,15.464,16.178,16.466,16.891,17.75,18.533,16.178,15.932,16.466,15.464,18.533,15.607,17.75,16.891
2/5/15,1472248,943217,97953181,205.985,205.99,205.98,14.136,14.189,15.428,15.912,16.482,17.467,18.309,15.428,14.136,15.912,14.189,18.309,14.689,17.467,16.482
2/6/15,2589995,1462800,125672026,205.825,205.83,205.82,13.968,14.621,15.891,16.444,17.024,17.898,18.538,15.891,13.968,16.444,14.621,18.538,15.095,17.898,17.024
2/9/15,906764,447674,87219016,204.735,204.74,204.73,15.748,15.755,16.527,16.929,17.234,17.896,18.648,16.527,15.748,16.929,15.755,18.648,15.868,17.896,17.234
2/10/15,1140133,602863,96164183,206.71,206.73,206.69,13.815,14.349,15.571,16.166,16.788,17.641,18.396,15.571,13.815,16.166,14.349,18.396,14.821,17.641,16.788
2/11/15,1123069,486691,91087785,207.085,207.09,207.08,13.344,14.215,15.57,16.11,16.655,17.54,18.273,15.57,13.344,16.11,14.215,18.273,14.788,17.54,16.655
2/12/15,1662117,1082777,97545949,208.905,208.91,208.9,11.244,12.732,14.455,15.325,16.053,17.022,18.059,14.455,11.244,15.325,12.732,18.059,13.654,17.022,16.053
2/13/15,1447821,965681,93670430,209.795,209.8,209.79,10.69,11.959,14.089,15.065,15.852,16.78,17.51,14.089,10.69,15.065,11.959,17.51,13.272,16.78,15.852
2/17/15,1174946,538628,76968199,210.055,210.06,210.05,11.581,12.717,14.234,15.11,15.925,16.915,17.804,14.234,11.581,15.11,12.717,17.804,13.52,16.915,15.925
2/18/15,950979,382495,80652941,210.015,210.02,210.01,11.009,12.473,14.223,15.121,15.866,16.899,17.974,14.223,11.009,15.121,12.473,17.974,13.458,16.899,15.866
