,date,default,isPartial,delta
0,2017-11-02 00:00:00,65,False,
1,2017-11-02 01:00:00,66,False,0.015384615384615385
2,2017-11-02 02:00:00,69,False,0.045454545454545456
3,2017-11-02 03:00:00,71,False,0.028985507246376812
4,2017-11-02 04:00:00,75,False,0.056338028169014086
5,2017-11-02 05:00:00,78,False,0.04
6,2017-11-02 06:00:00,82,False,0.05128205128205128
7,2017-11-02 07:00:00,84,False,0.024390243902439025
8,2017-11-02 08:00:00,87,False,0.03571428571428571
9,2017-11-02 09:00:00,94,False,0.08045977011494253
10,2017-11-02 10:00:00,89,False,-0.05319148936170213
11,2017-11-02 11:00:00,80,False,-0.10112359550561797
12,2017-11-02 12:00:00,80,False,0.0
13,2017-11-02 13:00:00,89,False,0.1125
14,2017-11-02 14:00:00,91,False,0.02247191011235955
15,2017-11-02 15:00:00,90,False,-0.01098901098901099
16,2017-11-02 16:00:00,80,False,-0.1111111111111111
17,2017-11-02 17:00:00,77,False,-0.0375
18,2017-11-02 18:00:00,77,False,0.0
19,2017-11-02 19:00:00,75,False,-0.025974025974025976
20,2017-11-02 20:00:00,74,False,-0.013333333333333334
21,2017-11-02 21:00:00,72,False,-0.02702702702702703
22,2017-11-02 22:00:00,68,False,-0.05555555555555555
23,2017-11-02 23:00:00,65,False,-0.04411764705882353
24,2017-11-03 00:00:00,62,False,-0.046153846153846156
25,2017-11-03 01:00:00,65,False,0.04838709677419355
26,2017-11-03 02:00:00,72,False,0.1076923076923077
27,2017-11-03 03:00:00,76,False,0.05555555555555555
28,2017-11-03 04:00:00,69,False,-0.09210526315789473
29,2017-11-03 05:00:00,72,False,0.043478260869565216
30,2017-11-03 06:00:00,77,False,0.06944444444444445
31,2017-11-03 07:00:00,78,False,0.012987012987012988
32,2017-11-03 08:00:00,81,False,0.038461538461538464
33,2017-11-03 09:00:00,90,False,0.1111111111111111
34,2017-11-03 10:00:00,84,False,-0.06666666666666667
35,2017-11-03 11:00:00,74,False,-0.11904761904761904
36,2017-11-03 12:00:00,77,False,0.04054054054054054
37,2017-11-03 13:00:00,84,False,0.09090909090909091
38,2017-11-03 14:00:00,85,False,0.011904761904761904
39,2017-11-03 15:00:00,84,False,-0.011764705882352941
40,2017-11-03 16:00:00,75,False,-0.10714285714285714
41,2017-11-03 17:00:00,71,False,-0.05333333333333334
42,2017-11-03 18:00:00,72,False,0.014084507042253521
43,2017-11-03 19:00:00,69,False,-0.041666666666666664
44,2017-11-03 20:00:00,68,False,-0.014492753623188406
45,2017-11-03 21:00:00,63,False,-0.07352941176470588
46,2017-11-03 22:00:00,57,False,-0.09523809523809523
47,2017-11-03 23:00:00,54,False,-0.05263157894736842
48,2017-11-04 00:00:00,52,False,-0.037037037037037035
49,2017-11-04 01:00:00,50,False,-0.038461538461538464
50,2017-11-04 02:00:00,52,False,0.04
51,2017-11-04 03:00:00,51,False,-0.019230769230769232
52,2017-11-04 04:00:00,53,False,0.0392156862745098
53,2017-11-04 05:00:00,51,False,-0.03773584905660377
54,2017-11-04 06:00:00,52,False,0.0196078431372549
55,2017-11-04 07:00:00,46,False,-0.11538461538461539
56,2017-11-04 08:00:00,43,False,-0.06521739130434782
57,2017-11-04 09:00:00,48,False,0.11627906976744186
58,2017-11-04 10:00:00,45,False,-0.0625
59,2017-11-04 11:00:00,44,False,-0.022222222222222223
60,2017-11-04 12:00:00,43,False,-0.022727272727272728
61,2017-11-04 13:00:00,43,False,0.0
62,2017-11-04 14:00:00,45,False,0.046511627906976744
63,2017-11-04 15:00:00,46,False,0.022222222222222223
64,2017-11-04 16:00:00,45,False,-0.021739130434782608
65,2017-11-04 17:00:00,45,False,0.0
66,2017-11-04 18:00:00,46,False,0.022222222222222223
67,2017-11-04 19:00:00,43,False,-0.06521739130434782
68,2017-11-04 20:00:00,44,False,0.023255813953488372
69,2017-11-04 21:00:00,44,False,0.0
70,2017-11-04 22:00:00,44,False,0.0
71,2017-11-04 23:00:00,45,False,0.022727272727272728
72,2017-11-05 00:00:00,45,False,0.0
73,2017-11-05 01:00:00,46,False,0.022222222222222223
74,2017-11-05 02:00:00,47,False,0.021739130434782608
75,2017-11-05 03:00:00,47,False,0.0
76,2017-11-05 04:00:00,48,False,0.02127659574468085
77,2017-11-05 05:00:00,51,False,0.0625
78,2017-11-05 06:00:00,48,False,-0.058823529411764705
79,2017-11-05 07:00:00,47,False,-0.020833333333333332
80,2017-11-05 08:00:00,44,False,-0.06382978723404255
81,2017-11-05 09:00:00,43,False,-0.022727272727272728
82,2017-11-05 10:00:00,44,False,0.023255813953488372
83,2017-11-05 11:00:00,43,False,-0.022727272727272728
84,2017-11-05 12:00:00,43,False,0.0
85,2017-11-05 13:00:00,43,False,0.0
86,2017-11-05 14:00:00,44,False,0.023255813953488372
87,2017-11-05 15:00:00,45,False,0.022727272727272728
88,2017-11-05 16:00:00,43,False,-0.044444444444444446
89,2017-11-05 17:00:00,45,False,0.046511627906976744
90,2017-11-05 18:00:00,44,False,-0.022222222222222223
91,2017-11-05 19:00:00,45,False,0.022727272727272728
92,2017-11-05 20:00:00,45,False,0.0
93,2017-11-05 21:00:00,48,False,0.06666666666666667
94,2017-11-05 22:00:00,48,False,0.0
95,2017-11-05 23:00:00,52,False,0.08333333333333333
96,2017-11-06 00:00:00,55,False,0.057692307692307696
97,2017-11-06 01:00:00,62,False,0.12727272727272726
98,2017-11-06 02:00:00,65,False,0.04838709677419355
99,2017-11-06 03:00:00,71,False,0.09230769230769231
100,2017-11-06 04:00:00,70,False,-0.014084507042253521
101,2017-11-06 05:00:00,75,False,0.07142857142857142
102,2017-11-06 06:00:00,81,False,0.08
103,2017-11-06 07:00:00,82,False,0.012345679012345678
104,2017-11-06 08:00:00,85,False,0.036585365853658534
105,2017-11-06 09:00:00,92,False,0.08235294117647059
106,2017-11-06 10:00:00,86,False,-0.06521739130434782
107,2017-11-06 11:00:00,79,False,-0.08139534883720931
108,2017-11-06 12:00:00,74,False,-0.06329113924050633
109,2017-11-06 13:00:00,77,False,0.04054054054054054
110,2017-11-06 14:00:00,83,False,0.07792207792207792
111,2017-11-06 15:00:00,87,False,0.04819277108433735
112,2017-11-06 16:00:00,82,False,-0.05747126436781609
113,2017-11-06 17:00:00,73,False,-0.10975609756097561
114,2017-11-06 18:00:00,76,False,0.0410958904109589
115,2017-11-06 19:00:00,78,False,0.02631578947368421
116,2017-11-06 20:00:00,78,False,0.0
117,2017-11-06 21:00:00,78,False,0.0
118,2017-11-06 22:00:00,76,False,-0.02564102564102564
119,2017-11-06 23:00:00,69,False,-0.09210526315789473
120,2017-11-07 00:00:00,69,False,0.0
121,2017-11-07 01:00:00,70,False,0.014492753623188406
122,2017-11-07 02:00:00,72,False,0.02857142857142857
123,2017-11-07 03:00:00,71,False,-0.013888888888888888
124,2017-11-07 04:00:00,75,False,0.056338028169014086
125,2017-11-07 05:00:00,79,False,0.05333333333333334
126,2017-11-07 06:00:00,85,False,0.0759493670886076
127,2017-11-07 07:00:00,86,False,0.011764705882352941
128,2017-11-07 08:00:00,91,False,0.05813953488372093
129,2017-11-07 09:00:00,98,False,0.07692307692307693
130,2017-11-07 10:00:00,93,False,-0.05102040816326531
131,2017-11-07 11:00:00,83,False,-0.10752688172043011
132,2017-11-07 12:00:00,80,False,-0.03614457831325301
133,2017-11-07 13:00:00,83,False,0.0375
134,2017-11-07 14:00:00,88,False,0.060240963855421686
135,2017-11-07 15:00:00,88,False,0.0
136,2017-11-07 16:00:00,84,False,-0.045454545454545456
137,2017-11-07 17:00:00,76,False,-0.09523809523809523
138,2017-11-07 18:00:00,77,False,0.013157894736842105
139,2017-11-07 19:00:00,81,False,0.05194805194805195
140,2017-11-07 20:00:00,79,False,-0.024691358024691357
141,2017-11-07 21:00:00,82,False,0.0379746835443038
142,2017-11-07 22:00:00,77,False,-0.06097560975609756
143,2017-11-07 23:00:00,75,False,-0.025974025974025976
144,2017-11-08 00:00:00,70,False,-0.06666666666666667
145,2017-11-08 01:00:00,70,False,0.0
146,2017-11-08 02:00:00,73,False,0.04285714285714286
147,2017-11-08 03:00:00,72,False,-0.0136986301369863
148,2017-11-08 04:00:00,80,False,0.1111111111111111
149,2017-11-08 05:00:00,80,False,0.0
150,2017-11-08 06:00:00,87,False,0.0875
151,2017-11-08 07:00:00,88,False,0.011494252873563218
152,2017-11-08 08:00:00,90,False,0.022727272727272728
153,2017-11-08 09:00:00,100,False,0.1111111111111111
154,2017-11-08 10:00:00,95,False,-0.05
155,2017-11-08 11:00:00,81,False,-0.14736842105263157
156,2017-11-08 12:00:00,78,False,-0.037037037037037035
157,2017-11-08 13:00:00,83,False,0.0641025641025641
158,2017-11-08 14:00:00,89,False,0.07228915662650602
159,2017-11-08 15:00:00,89,False,0.0
160,2017-11-08 16:00:00,86,False,-0.033707865168539325
161,2017-11-08 17:00:00,77,False,-0.10465116279069768
162,2017-11-08 18:00:00,77,False,0.0
163,2017-11-08 19:00:00,79,False,0.025974025974025976
164,2017-11-08 20:00:00,80,False,0.012658227848101266
165,2017-11-08 21:00:00,79,False,-0.0125
166,2017-11-08 22:00:00,78,False,-0.012658227848101266
167,2017-11-08 23:00:00,74,False,-0.05128205128205128
168,2017-11-09 00:00:00,72,False,-0.02702702702702703
169,2018-11-15 00:00:00,73,False,0.013888888888888888
170,2018-11-15 01:00:00,74,False,0.0136986301369863
171,2018-11-15 02:00:00,77,False,0.04054054054054054
172,2018-11-15 03:00:00,76,False,-0.012987012987012988
173,2018-11-15 04:00:00,76,False,0.0
174,2018-11-15 05:00:00,78,False,0.02631578947368421
175,2018-11-15 06:00:00,84,False,0.07692307692307693
176,2018-11-15 07:00:00,85,False,0.011904761904761904
177,2018-11-15 08:00:00,91,False,0.07058823529411765
178,2018-11-15 09:00:00,100,False,0.0989010989010989
179,2018-11-15 10:00:00,95,False,-0.05
180,2018-11-15 11:00:00,81,False,-0.14736842105263157
181,2018-11-15 12:00:00,81,False,0.0
182,2018-11-15 13:00:00,85,False,0.04938271604938271
183,2018-11-15 14:00:00,96,False,0.12941176470588237
184,2018-11-15 15:00:00,96,False,0.0
185,2018-11-15 16:00:00,88,False,-0.08333333333333333
186,2018-11-15 17:00:00,83,False,-0.056818181818181816
187,2018-11-15 18:00:00,82,False,-0.012048192771084338
188,2018-11-15 19:00:00,84,False,0.024390243902439025
189,2018-11-15 20:00:00,82,False,-0.023809523809523808
190,2018-11-15 21:00:00,82,False,0.0
191,2018-11-15 22:00:00,78,False,-0.04878048780487805
192,2018-11-15 23:00:00,72,False,-0.07692307692307693
193,2018-11-16 00:00:00,71,False,-0.013888888888888888
194,2018-11-16 01:00:00,71,False,0.0
195,2018-11-16 02:00:00,71,False,0.0
196,2018-11-16 03:00:00,71,False,0.0
197,2018-11-16 04:00:00,71,False,0.0
198,2018-11-16 05:00:00,72,False,0.014084507042253521
199,2018-11-16 06:00:00,77,False,0.06944444444444445
200,2018-11-16 07:00:00,82,False,0.06493506493506493
201,2018-11-16 08:00:00,82,False,0.0
202,2018-11-16 09:00:00,89,False,0.08536585365853659
203,2018-11-16 10:00:00,87,False,-0.02247191011235955
204,2018-11-16 11:00:00,76,False,-0.12643678160919541
205,2018-11-16 12:00:00,74,False,-0.02631578947368421
206,2018-11-16 13:00:00,78,False,0.05405405405405406
207,2018-11-16 14:00:00,86,False,0.10256410256410256
208,2018-11-16 15:00:00,88,False,0.023255813953488372
209,2018-11-16 16:00:00,83,False,-0.056818181818181816
210,2018-11-16 17:00:00,77,False,-0.07228915662650602
211,2018-11-16 18:00:00,78,False,0.012987012987012988
212,2018-11-16 19:00:00,79,False,0.01282051282051282
213,2018-11-16 20:00:00,75,False,-0.05063291139240506
214,2018-11-16 21:00:00,73,False,-0.02666666666666667
215,2018-11-16 22:00:00,67,False,-0.0821917808219178
216,2018-11-16 23:00:00,62,False,-0.07462686567164178
217,2018-11-17 00:00:00,57,False,-0.08064516129032258
218,2018-11-17 01:00:00,53,False,-0.07017543859649122
219,2018-11-17 02:00:00,53,False,0.0
220,2018-11-17 03:00:00,55,False,0.03773584905660377
221,2018-11-17 04:00:00,55,False,0.0
222,2018-11-17 05:00:00,55,False,0.0
223,2018-11-17 06:00:00,50,False,-0.09090909090909091
224,2018-11-17 07:00:00,47,False,-0.06
225,2018-11-17 08:00:00,43,False,-0.0851063829787234
226,2018-11-17 09:00:00,45,False,0.046511627906976744
227,2018-11-17 10:00:00,43,False,-0.044444444444444446
228,2018-11-17 11:00:00,42,False,-0.023255813953488372
229,2018-11-17 12:00:00,40,False,-0.047619047619047616
230,2018-11-17 13:00:00,43,False,0.075
231,2018-11-17 14:00:00,43,False,0.0
232,2018-11-17 15:00:00,44,False,0.023255813953488372
233,2018-11-17 16:00:00,45,False,0.022727272727272728
234,2018-11-17 17:00:00,46,False,0.022222222222222223
235,2018-11-17 18:00:00,45,False,-0.021739130434782608
236,2018-11-17 19:00:00,46,False,0.022222222222222223
237,2018-11-17 20:00:00,47,False,0.021739130434782608
238,2018-11-17 21:00:00,47,False,0.0
239,2018-11-17 22:00:00,47,False,0.0
240,2018-11-17 23:00:00,48,False,0.02127659574468085
241,2018-11-18 00:00:00,47,False,-0.020833333333333332
242,2018-11-18 01:00:00,47,False,0.0
243,2018-11-18 02:00:00,48,False,0.02127659574468085
244,2018-11-18 03:00:00,49,False,0.020833333333333332
245,2018-11-18 04:00:00,50,False,0.02040816326530612
246,2018-11-18 05:00:00,49,False,-0.02
247,2018-11-18 06:00:00,49,False,0.0
248,2018-11-18 07:00:00,45,False,-0.08163265306122448
249,2018-11-18 08:00:00,41,False,-0.08888888888888889
250,2018-11-18 09:00:00,42,False,0.024390243902439025
251,2018-11-18 10:00:00,41,False,-0.023809523809523808
252,2018-11-18 11:00:00,42,False,0.024390243902439025
253,2018-11-18 12:00:00,41,False,-0.023809523809523808
254,2018-11-18 13:00:00,41,False,0.0
255,2018-11-18 14:00:00,42,False,0.024390243902439025
256,2018-11-18 15:00:00,43,False,0.023809523809523808
257,2018-11-18 16:00:00,43,False,0.0
258,2018-11-18 17:00:00,45,False,0.046511627906976744
259,2018-11-18 18:00:00,45,False,0.0
260,2018-11-18 19:00:00,44,False,-0.022222222222222223
261,2018-11-18 20:00:00,48,False,0.09090909090909091
262,2018-11-18 21:00:00,49,False,0.020833333333333332
263,2018-11-18 22:00:00,54,False,0.10204081632653061
264,2018-11-18 23:00:00,56,False,0.037037037037037035
265,2018-11-19 00:00:00,61,False,0.08928571428571429
